dim,dtype,block_size_cython,best_nb_threads,mean_numpy,stdev_numpy,mean_numba,stdev_numba,mean_cython,stdev_cython,speedup_numba,speedup_cython,all_close
64,numpy.float32,8,2,0.00010511000000406057,1.8855024100957136e-05,3.361399976711255e-05,9.957075054224652e-07,0.00012339400040218607,2.0645021238284273e-05,3.126970926765421,0.8518242350638502,True
128,numpy.float32,16,2,0.0010040580001805211,0.0002125408296070449,0.0003358460000890773,6.787974120838729e-05,0.0002869400000781752,2.750558399640849e-05,2.989638107686893,3.4991914682754968,True
256,numpy.float32,32,4,0.0024252939998405053,0.0009960271019192775,0.0018412920000992017,0.0017207973462988692,0.0015676160003204132,0.000125730780210617,1.317169682869333,1.5471225091762184,True
400,numpy.float32,64,4,0.006979066000349121,0.0009802505500650651,0.003725090000225464,0.0007992512822165415,0.0042504499998904065,0.00026135202474400303,1.8735294985964654,1.6419593220786197,True
512,numpy.float32,16,1,0.015070474000167451,0.003251907977723424,0.007961834000161616,0.0007256802798226199,0.012484987999996519,0.0010144456672623655,1.8928395140945589,1.2070875839185151,True
768,numpy.float32,32,4,0.04414225600012287,0.005470780276105968,0.016581205999827944,0.0008291981926927284,0.03220538000037777,0.0017311430227463845,2.662186091927265,1.3706485065416114,True
1024,numpy.float32,32,1,0.13130405200005044,0.015094499057991711,0.04158972000019276,0.002426904667736673,0.11947874399986176,0.005097988128858087,3.15712757862861,1.0989741572794098,True
